MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
10,4,1,5,1,5,3,4,3,7,6,7,3,5,2,3,9,5,6,7,0.48
1,2,4,5,6,6,6,5,1,5,4,7,3,5,5,4,2,6,2,4,0.415
2,4,8,5,0,2,5,4,0,5,3,4,4,8,6,5,5,6,4,5,0.425
6,5,5,6,5,4,7,5,8,2,8,6,4,2,2,4,2,4,4,6,0.475
7,0,4,12,7,3,7,8,4,6,2,5,3,6,4,9,2,6,4,8,0.535
6,3,2,10,6,3,8,5,3,3,2,0,8,6,2,2,7,6,2,8,0.46
4,3,5,6,3,4,4,8,7,5,9,5,6,7,5,4,3,1,3,3,0.475
9,5,8,5,7,5,3,2,3,3,9,4,4,4,6,8,5,3,3,6,0.51
3,2,5,5,5,4,4,4,7,5,4,6,6,6,10,4,2,6,7,4,0.495
7,5,7,6,3,7,5,3,1,8,4,7,2,5,9,10,4,5,2,3,0.515
6,7,3,8,4,5,5,5,7,3,7,3,7,7,7,7,7,6,5,4,0.565
2,7,3,3,8,5,6,3,5,4,1,4,11,9,2,6,9,6,4,4,0.51
6,8,2,4,5,4,3,6,1,3,7,6,5,4,4,8,4,5,5,5,0.475
9,9,9,4,5,4,4,7,10,3,4,8,5,3,6,4,5,4,4,5,0.56
3,4,6,3,7,5,4,6,5,4,5,4,5,3,5,6,8,6,2,11,0.51
5,8,6,3,2,7,6,3,2,9,3,8,5,2,2,3,1,4,4,8,0.455
8,4,9,1,5,4,6,7,6,9,4,5,5,7,5,2,5,8,5,2,0.535
7,5,3,4,4,14,5,2,2,3,3,11,8,6,10,4,2,2,7,7,0.545
3,3,4,2,7,4,3,2,5,3,10,4,2,5,4,4,1,6,13,4,0.445
4,5,3,6,3,3,8,8,7,5,11,6,4,6,6,3,1,5,5,8,0.535
4,6,6,4,6,6,1,5,9,3,4,4,1,9,4,6,5,2,3,6,0.47
3,2,4,6,3,8,6,7,11,4,2,8,4,1,4,2,6,4,4,8,0.485
3,5,2,10,5,8,4,4,3,5,2,2,4,4,3,3,4,4,5,3,0.415
5,3,6,2,2,4,1,5,1,4,10,4,8,7,4,6,7,3,5,7,0.47
5,9,4,2,3,6,8,3,7,2,5,8,4,7,5,7,4,10,6,1,0.53
8,11,6,5,7,3,10,8,7,2,10,4,2,5,8,5,10,3,7,1,0.61
5,7,7,3,2,8,6,4,5,3,7,5,6,4,5,5,4,10,3,9,0.54
7,2,3,4,3,4,2,4,8,3,5,8,5,3,6,7,6,8,3,6,0.485
4,4,4,6,6,4,4,7,11,6,6,4,4,6,9,2,9,6,8,8,0.59
3,4,5,5,3,6,6,6,11,5,5,5,5,5,11,2,7,4,4,9,0.555
2,3,8,12,7,9,3,9,2,5,8,2,5,5,10,5,2,2,3,8,0.55
2,6,8,5,6,5,1,7,6,1,9,3,3,2,1,5,2,7,0,6,0.425
5,4,2,5,2,3,2,4,8,3,4,5,6,4,1,1,5,6,5,4,0.395
5,2,6,2,6,5,6,0,7,4,3,3,7,5,2,2,7,10,1,9,0.46
3,5,1,3,3,2,4,8,4,3,2,4,7,5,6,6,6,6,5,2,0.425
1,3,12,8,9,12,5,11,6,1,8,4,7,4,6,3,3,5,6,7,0.605
9,5,3,6,3,5,3,6,2,4,4,4,4,4,9,5,6,7,12,3,0.52
7,6,4,3,2,5,0,5,5,2,7,3,5,4,3,10,11,7,6,3,0.49
6,5,5,7,7,5,4,0,3,3,5,3,5,2,3,4,7,3,4,3,0.42
3,4,3,7,4,6,4,4,6,5,7,4,7,7,8,5,4,3,4,5,0.5
8,5,3,5,9,4,3,8,6,8,3,6,5,9,3,3,3,8,3,3,0.525
3,8,4,2,3,6,6,8,3,5,3,4,3,8,6,8,5,9,8,5,0.535
2,4,3,5,5,3,3,6,7,7,4,5,4,3,8,4,4,2,6,2,0.435
6,10,3,5,2,2,4,6,10,8,5,1,7,6,1,10,5,4,3,10,0.54
3,5,5,4,9,6,3,9,4,5,7,6,6,3,1,3,8,2,7,4,0.5
2,5,4,2,5,8,6,3,5,7,3,4,3,6,4,5,4,3,5,6,0.45
8,3,5,4,5,6,6,7,5,4,4,1,4,5,9,5,8,4,5,7,0.525
3,6,7,4,6,5,6,7,6,3,5,6,4,4,5,5,2,5,7,1,0.485
4,2,6,4,3,2,3,5,3,3,6,7,4,4,10,3,5,5,4,4,0.435
7,5,8,6,4,5,8,2,7,5,10,5,6,1,2,2,4,6,4,2,0.495
7,3,8,10,4,8,5,3,2,8,2,7,4,4,4,5,2,6,5,7,0.52
6,5,2,2,9,2,4,6,9,5,6,4,9,1,5,7,5,2,4,4,0.485
3,6,5,2,5,7,10,6,8,10,4,6,2,2,6,1,7,3,3,6,0.51
5,2,3,3,2,3,5,1,8,3,7,5,6,3,5,1,4,5,5,5,0.405
2,6,10,4,7,5,7,9,9,1,9,4,4,5,4,5,1,1,2,5,0.5
6,7,4,4,1,9,4,6,4,9,1,4,7,4,4,6,6,3,6,9,0.52
6,3,4,10,6,9,11,5,1,6,6,2,4,5,2,3,5,4,1,5,0.49
4,4,4,7,5,5,4,8,7,5,2,11,7,2,5,4,3,4,6,9,0.53
3,6,4,3,6,5,3,7,2,3,5,4,4,6,3,9,5,7,3,6,0.47
6,4,5,4,5,5,4,2,10,5,4,4,4,6,7,5,3,1,4,4,0.46
9,5,4,7,2,9,6,2,3,9,0,1,4,1,3,4,4,8,6,6,0.465
2,5,6,4,4,3,3,2,6,3,6,12,4,3,6,7,5,2,7,5,0.475
4,7,4,4,4,4,4,6,3,5,7,7,4,5,2,5,4,4,6,2,0.455
6,3,4,4,6,4,6,4,5,4,3,2,2,8,3,6,7,4,2,3,0.43
4,8,8,3,3,8,6,6,5,6,3,6,2,7,7,5,4,4,2,4,0.505
3,9,6,4,3,5,7,2,5,3,7,5,3,5,3,5,3,8,3,7,0.48
9,5,5,6,3,6,5,3,4,5,5,2,7,3,4,5,10,4,9,9,0.545
5,3,4,4,3,3,4,6,8,6,4,7,4,2,4,7,5,3,4,4,0.45
3,4,3,1,4,4,6,5,6,7,2,7,7,8,3,6,3,5,2,3,0.445
7,5,2,5,5,10,6,3,8,5,1,7,5,6,2,3,7,4,3,2,0.48
4,6,1,4,7,2,5,6,8,7,6,5,5,3,9,6,8,4,3,7,0.53
6,3,9,7,3,7,9,4,6,4,4,5,6,6,2,5,3,6,4,8,0.535
9,5,6,8,6,2,4,5,4,1,6,5,4,9,2,7,1,7,5,5,0.505
5,3,7,5,5,7,7,7,3,6,11,5,4,4,5,5,5,8,7,4,0.565
4,3,2,8,2,8,2,3,6,2,3,2,7,4,6,7,0,5,7,4,0.425
7,1,2,7,5,6,6,7,10,6,5,6,1,4,5,10,6,4,5,3,0.53
9,6,6,4,4,7,6,4,1,3,11,4,6,4,6,5,7,6,7,7,0.565
4,5,5,4,7,2,3,4,4,3,5,3,4,7,2,5,5,6,7,5,0.45
2,6,5,3,4,8,5,4,5,9,7,7,3,4,10,0,9,2,7,2,0.51
5,2,4,7,5,3,4,7,4,6,7,3,7,8,4,4,8,6,5,3,0.51
2,4,4,5,6,7,3,10,6,1,4,8,3,4,4,2,6,6,10,6,0.505
5,3,5,7,9,8,5,2,9,4,8,0,4,9,7,4,4,8,2,7,0.55
8,9,5,4,4,7,5,7,6,8,7,5,2,5,7,1,7,3,2,4,0.53
6,9,4,1,4,4,3,6,3,3,3,5,6,6,4,9,2,6,3,5,0.46
6,2,9,1,3,5,9,2,4,2,7,10,7,5,0,4,5,6,6,5,0.49
6,4,5,4,7,3,4,5,7,5,5,3,4,4,3,5,5,4,6,2,0.455
3,2,9,9,3,1,7,3,5,3,8,4,5,12,6,4,4,6,5,9,0.54
4,7,7,2,4,4,5,6,4,12,2,3,3,8,4,4,4,7,3,12,0.525
9,6,4,6,2,3,7,7,7,3,2,5,7,5,7,8,4,5,8,3,0.54
6,2,3,3,8,6,7,2,5,7,5,8,4,7,3,2,10,7,2,3,0.5
6,7,2,6,3,9,5,6,8,2,4,5,4,8,4,6,3,2,6,3,0.495
1,3,6,4,3,8,2,6,6,5,5,3,7,6,8,6,5,5,8,5,0.51
6,2,7,5,4,5,5,3,2,4,8,2,4,6,5,6,4,3,8,3,0.46
7,2,2,4,7,4,3,3,2,2,4,5,5,10,10,6,8,6,2,7,0.495
5,6,1,2,6,4,4,4,8,7,5,9,6,3,3,2,4,7,4,3,0.465
3,6,3,6,3,4,4,6,3,3,4,3,8,5,2,6,5,3,2,5,0.42
8,3,10,5,5,4,3,9,5,7,2,1,1,4,6,4,2,6,6,3,0.47
5,3,5,5,5,5,5,6,3,7,2,4,8,4,3,6,4,7,7,3,0.485
7,3,5,3,6,6,5,6,3,6,4,4,5,3,5,3,7,2,3,7,0.465
8,4,6,3,2,3,4,8,9,3,5,4,3,3,1,3,3,4,4,6,0.43
4,3,3,7,6,5,1,4,7,3,6,11,6,4,4,2,3,4,1,8,0.46
7,3,7,3,6,6,4,1,6,9,8,3,3,3,6,5,3,7,4,10,0.52
2,8,6,6,4,3,6,3,4,7,2,6,3,4,2,4,8,4,5,4,0.455
4,3,2,5,7,3,6,1,6,3,7,3,6,10,7,2,3,6,6,4,0.47
4,5,5,4,5,6,8,5,4,2,6,5,5,6,7,8,8,5,8,5,0.555
8,4,10,7,7,8,4,5,8,4,3,8,5,3,3,6,8,3,7,2,0.565
4,13,8,4,6,6,4,4,4,9,8,4,2,6,6,4,8,5,6,6,0.585
10,8,6,6,4,4,3,2,5,6,7,6,4,9,0,3,5,3,0,5,0.48
7,3,5,5,3,2,6,6,5,7,10,2,6,7,3,6,6,6,4,10,0.545
1,4,4,4,5,3,3,2,4,1,2,2,4,4,6,4,8,9,6,5,0.405
7,3,7,5,2,5,6,9,6,4,8,3,6,6,1,8,4,7,5,4,0.53
6,4,7,6,7,7,2,5,6,2,6,6,8,8,2,4,4,1,7,1,0.495
1,5,1,6,6,7,4,7,3,7,5,6,1,6,6,9,4,7,8,6,0.525
5,1,2,2,5,4,1,3,5,4,2,7,1,10,8,9,5,7,7,5,0.465
8,4,4,5,5,8,13,4,4,9,10,8,6,4,6,4,5,1,7,4,0.595
4,3,3,4,6,5,7,5,3,4,7,3,4,8,3,6,6,2,5,7,0.475
3,5,5,4,6,5,3,5,4,3,4,6,1,3,5,7,6,5,6,6,0.46
4,5,8,7,7,6,5,6,6,4,5,4,4,7,8,1,3,6,9,4,0.545
1,8,2,5,3,6,3,6,5,3,8,3,2,9,5,1,4,4,5,4,0.435
4,7,6,6,7,5,4,3,10,5,4,5,5,9,6,8,5,6,4,6,0.575
3,11,2,2,4,2,5,7,4,6,7,2,7,3,4,6,5,6,4,4,0.47
4,6,3,6,3,3,3,3,5,4,3,10,4,3,8,5,6,7,7,4,0.485
5,5,3,3,4,7,9,1,5,5,2,10,5,6,9,6,9,9,6,6,0.575
5,6,6,5,4,5,5,6,5,5,2,5,3,3,8,8,5,9,6,4,0.525
7,8,5,2,7,5,6,3,7,5,6,5,5,6,8,4,5,11,8,6,0.595
7,5,8,6,6,4,3,2,6,3,5,6,5,2,6,3,3,7,7,12,0.53
3,3,5,3,2,4,4,4,9,5,7,3,10,6,6,8,4,5,5,4,0.5
5,6,6,6,7,2,5,1,2,5,4,6,5,5,7,1,3,2,7,3,0.44
2,9,6,4,6,6,5,3,7,4,7,3,1,11,4,11,7,4,5,3,0.54
4,2,6,4,2,3,6,8,2,7,4,2,3,2,5,8,4,7,2,4,0.425
6,6,7,4,2,7,6,8,9,1,6,4,6,4,5,6,2,3,9,5,0.53
8,6,3,9,2,7,8,7,8,2,4,4,2,7,9,4,5,3,10,6,0.57
8,6,6,10,8,6,5,3,8,3,5,4,5,6,8,2,6,6,7,7,0.595
8,8,2,3,3,6,6,6,4,2,3,7,6,6,3,6,3,3,2,1,0.44
6,6,2,6,1,3,2,5,6,4,7,2,6,5,7,3,6,3,5,7,0.46
5,6,3,3,3,5,3,1,4,7,2,10,4,4,2,5,6,5,7,3,0.44
7,9,3,4,3,3,6,8,8,3,7,5,2,7,5,1,6,5,10,5,0.535
4,4,1,6,3,4,7,5,4,5,4,3,7,5,7,3,6,1,5,6,0.45
5,0,7,4,3,6,7,5,5,8,3,10,4,8,9,3,6,3,1,5,0.51
4,5,7,8,6,4,4,5,6,5,6,5,2,2,7,11,5,3,5,0,0.5
4,4,2,6,4,7,6,8,8,16,11,5,9,7,6,2,2,3,5,3,0.59
6,5,2,3,8,2,4,2,5,4,4,8,3,9,3,1,6,7,7,6,0.475
3,7,5,5,5,4,0,6,3,5,5,6,5,6,4,6,2,7,3,5,0.46
7,2,2,3,4,1,3,6,6,5,3,2,7,4,8,4,4,9,7,2,0.445
4,2,6,4,2,4,7,3,3,2,7,1,4,7,8,3,6,4,4,3,0.42
4,3,3,4,5,2,6,5,6,5,5,2,10,5,8,3,2,7,3,7,0.475
2,11,4,5,7,2,2,8,2,3,0,5,4,4,2,5,4,4,10,0,0.42
5,3,7,6,5,6,10,1,6,4,3,6,7,8,6,5,3,3,7,3,0.52
3,3,4,8,8,6,7,13,2,5,8,4,4,7,2,4,9,6,3,3,0.545
6,3,8,2,5,1,4,6,4,6,4,1,5,6,5,4,8,6,6,5,0.475
4,6,4,8,9,4,4,8,5,7,3,4,4,4,4,4,2,10,4,3,0.505
7,4,4,5,7,6,4,8,2,5,4,1,2,7,6,7,7,5,3,4,0.49
5,6,2,7,7,1,5,6,5,3,8,2,5,5,5,4,9,5,4,5,0.495
8,4,6,6,3,4,5,2,10,3,6,5,5,0,3,8,3,5,2,10,0.49
5,5,3,8,4,3,6,4,2,1,3,3,10,7,4,4,7,3,9,7,0.49
4,3,4,2,6,4,3,6,3,5,5,3,4,2,3,5,7,6,6,10,0.455
6,2,3,1,3,3,4,4,9,7,8,6,4,7,3,6,3,5,5,6,0.475
5,2,3,5,7,6,5,2,7,4,7,5,3,6,5,7,8,2,5,2,0.48
9,6,5,7,5,8,8,6,11,6,2,6,12,8,6,3,9,7,4,7,0.675
5,3,1,5,4,6,5,8,2,7,4,6,9,0,6,9,8,5,5,5,0.515
2,4,5,3,9,6,4,5,7,4,4,7,5,5,4,8,1,4,9,6,0.51
6,3,5,7,3,1,6,3,3,1,3,5,13,4,2,3,4,1,12,4,0.445
6,5,3,5,1,6,3,5,5,5,4,2,5,4,6,4,5,1,2,11,0.44
4,8,3,6,12,2,5,6,2,9,2,2,2,5,7,4,3,5,3,9,0.495
5,4,2,5,4,5,8,8,7,7,3,5,0,7,7,6,5,4,7,3,0.51
3,8,9,5,7,5,5,3,2,1,3,2,6,3,4,4,3,9,4,8,0.47
8,4,5,4,5,5,4,5,7,10,3,3,7,6,5,4,1,8,5,7,0.53
6,1,4,4,4,4,4,7,8,2,4,5,2,5,7,3,5,7,1,0,0.415
3,3,9,4,7,3,3,6,3,6,5,3,13,4,8,4,10,4,6,6,0.55
7,4,5,5,6,2,3,5,3,7,9,5,5,6,6,6,8,7,5,1,0.525
8,6,4,4,7,5,7,2,3,3,7,6,10,2,3,5,4,4,5,6,0.505
8,5,3,8,8,3,7,5,5,4,5,6,3,6,5,3,5,5,2,2,0.49
4,8,6,10,2,6,2,6,5,3,5,5,2,5,8,5,4,4,6,4,0.5
2,3,6,5,5,6,3,4,5,4,3,3,5,6,8,2,5,5,3,8,0.455
2,2,6,7,4,3,5,8,5,9,3,8,2,8,4,2,6,8,3,7,0.51
4,6,8,7,3,5,4,11,3,3,3,2,4,4,8,6,2,5,6,5,0.495
6,3,2,8,5,6,6,2,5,5,4,6,2,6,7,9,4,5,5,6,0.51
7,7,5,4,8,6,4,7,4,5,2,9,3,4,7,2,3,3,5,4,0.495
3,1,4,4,5,7,6,10,3,6,6,7,0,4,5,6,4,2,4,3,0.45
7,6,6,5,3,3,5,1,6,9,5,2,3,1,9,2,7,10,4,9,0.515
7,2,4,4,6,6,6,3,5,3,1,3,6,7,3,2,2,2,2,3,0.385
3,6,11,5,4,7,6,5,2,8,5,7,9,3,3,7,4,5,2,5,0.535
5,2,2,0,3,4,4,5,2,10,3,3,4,7,2,6,6,7,5,3,0.415
5,3,0,6,3,3,9,6,4,7,7,7,1,6,4,3,4,3,6,4,0.455
6,5,3,3,3,4,3,4,3,3,3,6,4,2,5,3,2,5,6,3,0.38
5,0,6,4,6,5,7,4,7,1,4,7,7,4,3,5,3,3,4,6,0.455
2,5,6,6,4,3,5,5,4,2,9,4,8,3,1,5,5,5,8,0,0.45
4,6,3,3,5,7,8,4,3,10,2,7,6,4,3,7,3,7,6,3,0.505
5,6,5,6,10,6,5,5,9,2,4,6,2,5,3,7,3,4,2,4,0.495
5,3,3,7,4,5,9,4,2,5,6,3,8,6,5,2,6,3,5,6,0.485
1,5,4,5,9,3,4,4,10,9,10,1,4,7,5,5,8,8,3,4,0.545
5,7,5,4,6,4,8,10,7,6,4,2,3,6,3,2,4,3,6,3,0.49
5,6,8,7,6,6,6,5,2,4,5,10,3,6,5,6,4,8,7,1,0.55
3,4,4,4,6,3,6,3,7,2,5,10,5,7,3,6,4,3,6,4,0.475
7,5,7,4,3,3,3,4,1,5,4,2,3,5,5,7,4,6,8,7,0.465
5,7,1,8,2,5,6,9,4,5,6,5,4,5,7,1,5,3,6,6,0.5
4,5,0,5,7,2,4,9,6,7,4,5,5,8,3,9,4,7,8,6,0.54
5,5,6,3,6,2,6,7,5,3,8,3,5,7,4,4,8,2,2,2,0.465
5,10,4,2,5,6,6,4,5,3,5,5,9,3,2,4,2,3,4,4,0.455
3,5,7,7,3,2,7,5,3,8,6,4,2,6,3,6,4,4,5,4,0.47
8,7,5,3,6,2,8,3,6,7,2,4,5,10,3,5,12,5,5,6,0.56
6,3,1,3,6,3,4,4,4,2,1,7,2,4,7,4,8,2,3,5,0.395
5,2,3,6,7,4,7,7,3,4,4,4,3,9,3,4,7,5,3,5,0.475
3,2,8,7,3,3,7,2,3,4,6,7,6,5,9,2,2,2,5,7,0.465
6,3,0,3,5,6,5,1,7,6,7,6,5,5,2,9,3,3,3,4,0.445
7,4,4,4,4,5,4,5,6,3,6,4,6,5,4,7,6,6,6,5,0.505
10,7,5,8,7,3,4,1,4,7,2,4,5,7,2,12,7,3,6,6,0.55
6,3,5,4,5,5,13,7,14,3,2,4,4,3,6,10,4,6,7,4,0.575
5,9,4,6,5,7,2,5,5,2,3,4,5,6,7,5,2,4,2,4,0.46
2,4,5,4,4,6,2,3,7,2,5,7,3,4,4,3,3,3,4,1,0.38
5,1,8,3,6,3,3,3,2,6,5,3,8,4,3,6,2,7,2,4,0.42
2,3,6,5,3,3,8,5,8,4,4,8,5,5,2,8,11,2,5,4,0.505
8,9,4,4,3,2,5,4,7,2,4,8,5,7,7,3,8,3,4,8,0.525
3,5,5,7,7,4,8,1,6,5,6,5,3,5,8,5,3,2,4,2,0.47
4,4,2,5,6,4,3,4,6,6,4,7,7,5,8,5,4,5,2,3,0.47
7,8,10,8,5,9,5,4,3,5,6,6,4,5,5,4,10,5,5,9,0.615
5,7,5,3,5,2,1,9,8,4,4,7,6,5,11,3,4,9,3,3,0.52
4,4,4,3,7,3,3,6,4,3,2,6,11,7,5,6,5,6,8,5,0.51
5,5,7,5,5,3,4,2,5,4,7,3,2,4,6,5,7,5,3,6,0.465
1,3,3,4,6,7,6,5,3,3,12,3,6,4,6,7,1,6,8,6,0.5
5,3,3,5,4,5,9,8,4,3,6,7,2,9,4,4,2,4,5,9,0.505
7,4,4,4,3,5,4,6,5,9,4,2,4,4,4,4,5,6,5,5,0.47
2,8,10,4,5,4,3,4,3,8,2,7,5,4,3,5,3,2,6,8,0.48
5,5,4,3,2,5,3,0,4,5,4,3,4,7,1,4,3,3,7,6,0.39
4,5,6,5,5,3,5,6,7,4,5,6,7,10,7,3,5,6,3,3,0.525
2,5,5,1,3,5,2,8,5,2,9,7,11,5,5,3,6,8,7,3,0.51
5,5,2,1,8,7,5,6,5,7,5,6,3,11,2,3,7,7,2,7,0.52
4,1,7,4,6,4,4,9,4,6,5,5,5,5,7,3,4,9,5,1,0.49
4,9,5,9,5,1,4,6,4,4,5,9,4,7,5,1,6,5,5,2,0.5
2,4,8,4,2,8,3,2,3,7,0,2,7,4,1,2,7,7,3,6,0.41
6,1,6,4,4,4,8,5,9,7,6,5,8,4,3,5,4,4,5,3,0.505
4,3,4,6,1,2,4,4,5,4,3,5,9,3,6,6,2,1,3,8,0.415
2,5,3,4,2,1,2,2,7,6,6,5,3,3,5,3,8,3,5,6,0.405
4,7,4,3,1,6,4,5,2,6,7,8,4,6,7,7,9,3,5,9,0.535
4,5,2,8,6,6,1,8,10,6,3,4,4,4,3,1,7,2,6,10,0.5
4,3,3,4,6,5,7,8,6,2,7,2,7,8,6,6,7,5,7,4,0.535
7,3,1,4,0,5,4,5,2,3,4,6,6,7,11,5,7,4,4,6,0.47
5,1,5,5,4,2,1,7,8,5,5,6,8,3,4,3,2,5,1,5,0.425
5,7,5,7,8,4,9,4,7,5,10,2,8,3,3,9,5,3,12,4,0.6
4,3,5,6,1,4,2,7,6,6,7,1,4,7,9,8,8,0,9,4,0.505
6,7,2,2,10,1,4,4,7,3,9,3,4,3,3,3,4,3,9,6,0.465
6,7,8,3,5,5,5,5,8,4,8,5,6,2,9,4,3,8,4,4,0.545
6,6,1,2,6,4,6,7,7,8,5,7,2,1,8,5,8,2,5,5,0.505
8,5,3,3,4,3,4,5,5,9,3,2,4,6,8,5,5,7,7,4,0.5
2,6,4,2,3,5,4,7,6,5,7,7,4,6,8,5,5,8,6,6,0.53
3,9,6,3,3,9,6,3,6,5,5,6,4,4,7,6,3,10,9,4,0.555
4,8,4,6,1,5,4,4,4,3,2,6,4,6,4,10,4,6,4,6,0.475
5,3,7,0,5,6,2,4,1,8,3,3,7,5,9,7,5,6,3,4,0.465
3,8,5,4,10,2,6,4,3,4,3,1,5,5,3,2,5,9,7,2,0.455
4,2,3,5,5,5,8,3,5,6,1,6,7,2,6,4,4,1,5,5,0.435
6,2,5,5,8,5,2,5,7,6,6,5,4,6,3,5,4,5,3,5,0.485
7,5,7,6,6,4,3,7,3,2,5,6,4,6,2,6,6,10,2,2,0.495
5,7,8,3,5,7,4,6,6,6,3,1,7,2,6,3,5,5,6,5,0.5
9,6,10,2,0,5,4,9,3,4,6,3,7,5,7,9,4,5,3,6,0.535
3,12,3,5,8,5,10,5,3,7,5,3,5,8,6,4,6,2,3,1,0.52
2,5,9,4,3,1,2,9,3,9,4,6,1,8,3,7,11,6,7,11,0.555
5,4,5,3,5,5,8,5,3,7,3,3,5,0,8,7,6,6,6,0,0.47
5,7,4,3,6,5,2,2,5,3,4,7,10,2,5,3,6,5,4,9,0.485
1,2,5,5,9,5,13,0,4,4,4,3,4,3,5,5,9,7,3,3,0.47
8,6,4,4,4,7,6,5,5,2,4,6,6,1,5,7,12,3,3,1,0.495
5,4,3,5,5,5,5,3,2,2,3,4,2,4,4,4,5,6,5,4,0.4
4,7,3,6,1,3,5,3,6,9,6,5,5,4,4,5,5,11,4,4,0.5
7,6,9,1,5,2,2,2,6,5,3,4,2,3,3,4,2,6,14,4,0.45
7,4,4,5,8,7,5,8,3,7,5,5,4,2,7,8,6,6,6,6,0.565
2,6,9,6,3,3,2,4,6,6,4,7,8,5,5,5,1,6,2,4,0.47
7,8,4,7,5,4,5,2,4,5,5,5,8,3,6,4,4,5,4,3,0.49
12,3,6,7,5,9,12,6,8,4,3,5,7,7,7,0,4,5,6,5,0.605
5,4,5,13,5,6,3,7,3,6,5,4,6,3,9,2,1,6,5,3,0.505
5,6,3,7,10,1,1,10,11,3,5,2,5,6,7,4,4,9,2,4,0.525
4,10,7,4,8,8,7,7,2,4,3,11,7,3,8,1,4,4,4,4,0.55
6,5,5,7,2,7,2,4,7,4,2,8,3,6,5,3,8,6,3,3,0.48
5,4,2,6,5,8,6,5,2,3,0,6,2,6,4,6,4,4,5,0,0.415
3,4,2,4,9,3,4,4,7,6,6,6,4,8,7,3,2,4,4,7,0.485
5,3,5,5,4,7,9,5,5,7,4,3,7,2,3,9,5,1,4,5,0.49
8,9,6,4,5,5,8,4,4,10,9,11,5,2,5,3,4,8,5,6,0.605
4,5,8,10,0,6,4,8,4,6,3,6,4,4,5,4,3,6,3,4,0.485
1,5,2,2,6,8,4,6,4,3,3,5,4,8,7,7,4,5,10,3,0.485
4,7,5,4,3,2,5,7,4,0,5,6,5,2,1,5,5,7,7,4,0.44
3,3,1,4,5,4,4,9,4,4,4,6,9,4,4,4,6,3,3,7,0.455
4,1,3,2,8,5,4,6,5,3,4,5,3,6,6,5,4,7,4,5,0.45
9,7,4,6,3,7,5,4,1,4,5,7,6,2,5,4,2,8,2,8,0.495
4,5,2,3,8,1,1,7,4,10,4,10,9,4,12,4,5,1,3,4,0.505
4,4,4,5,3,2,7,3,6,6,6,9,4,7,6,7,5,3,3,4,0.49
4,2,9,6,3,2,6,7,6,8,7,3,2,2,2,1,2,3,5,2,0.41
8,6,4,5,2,3,2,5,3,5,8,7,4,5,4,8,4,6,7,1,0.485
8,9,1,5,9,6,5,9,4,4,3,9,7,4,5,7,3,2,9,7,0.58
4,5,4,3,8,5,5,4,2,4,1,2,4,6,2,9,1,5,4,7,0.425
3,7,3,4,3,7,1,3,1,2,6,7,6,1,8,9,7,3,2,2,0.425
4,2,7,5,3,5,5,3,4,4,6,5,3,2,3,6,3,3,3,4,0.4
5,7,5,0,4,5,3,4,4,8,6,5,5,3,4,6,7,4,9,5,0.495
3,6,6,4,8,4,8,4,3,2,7,6,8,2,5,3,5,5,4,5,0.49
8,4,7,4,2,5,7,3,10,9,3,3,4,4,5,4,7,7,3,3,0.51
3,8,7,7,9,7,9,4,8,6,2,10,2,6,7,7,4,4,8,6,0.62
6,9,9,6,4,0,4,11,10,2,6,7,5,6,6,5,5,7,2,6,0.58
5,5,6,7,5,3,4,1,5,5,3,4,4,7,7,6,5,6,5,4,0.485
0,5,7,6,4,6,8,5,6,4,6,6,4,4,1,6,5,3,3,8,0.485
1,8,6,2,6,5,5,6,4,8,11,5,7,4,7,6,1,5,3,4,0.52
4,4,4,4,9,4,7,2,3,2,4,5,5,5,4,3,6,3,7,6,0.455
10,4,6,0,9,6,5,6,6,3,5,9,6,6,4,0,1,9,3,3,0.505
8,9,7,3,3,6,3,6,7,4,7,2,6,3,4,6,5,6,3,6,0.52
6,7,2,4,5,4,4,2,5,5,6,5,5,2,4,5,7,4,1,10,0.465
7,6,4,4,6,4,6,2,5,2,1,7,10,6,5,4,5,8,8,11,0.555
3,5,4,7,7,5,5,4,4,2,4,6,4,5,3,5,0,8,2,6,0.445
4,4,5,5,4,2,7,5,5,3,5,7,7,7,3,9,3,4,5,2,0.48
4,5,2,5,5,6,5,4,4,4,4,6,2,12,3,10,6,5,3,5,0.5
6,5,5,4,6,4,6,6,4,5,5,7,4,8,4,3,2,6,5,3,0.49
3,4,8,7,6,3,6,6,7,8,5,5,2,4,1,2,3,4,6,3,0.465
3,5,9,5,8,3,5,6,9,8,3,9,5,5,6,2,5,2,4,6,0.54
4,3,6,7,7,11,6,4,1,4,3,3,5,7,7,3,2,7,3,3,0.48
5,3,3,6,5,4,5,5,8,5,8,5,4,7,2,3,7,4,5,3,0.485
10,6,2,4,3,2,10,5,4,5,7,4,5,7,5,1,14,6,9,4,0.565
2,6,5,5,5,8,12,3,5,5,5,5,7,1,6,5,3,3,4,6,0.505
11,5,6,7,3,8,4,3,2,2,3,9,7,7,5,3,4,5,3,4,0.505
5,3,5,4,5,3,4,6,9,6,4,5,3,3,7,4,2,3,5,8,0.47
